name,order,type,field_uri,description,example,definition,separator,constraints
Code,46,string,b1g_code_s,Code or classification system identifier.,,https://gin.btaa.org/metadata/b1g-custom-elements/#code,,
Identifier,47,string,dct_identifier_sm,Additional identifiers for the resource.,,https://opengeometadata.org/ogm-aardvark/#identifier,|,
WxS Identifier,48,string,gbl_wxsIdentifier_s,"Web Coverage Service (WCS), Web Feature Service (WFS), or Web Map Service (WMS) identifier.",,https://opengeometadata.org/ogm-aardvark/#wxs-identifier,,
Tags,49,string,b1g_adminTags_sm,Additional tags or labels for the resource.,,https://gin.btaa.org/metadata/b1g-custom-elements/#admin-tags,,
Access Rights,50,string,dct_accessRights_s,To clarify to the user if the resource is public (any user can access) or restricted (a user will need to log in to some kind of authentication protocol). Only one of two values are allowed: Public or Restricted.,Public,https://opengeometadata.org/ogm-aardvark/#access-rights,,"{'enum': ['Public', 'Restricted']}"
Rights,51,string,dct_rights_sm,Rights and permissions associated with the resource.,,https://opengeometadata.org/ogm-aardvark/#rights,|,
License,52,string,dct_license_sm,License terms under which the resource is available.,,https://opengeometadata.org/ogm-aardvark/#license,|,
Rights Holder,53,string,dct_rightsHolder_sm,Person or organization that holds rights to the resource.,,https://opengeometadata.org/ogm-aardvark/#rights-holder,|,
Suppressed Record,54,string,gbl_suppressed_b,Indicates whether the record is suppressed from public view.,,https://opengeometadata.org/ogm-aardvark/#suppressed,,
Child Record,55,string,b1g_child_record_b,Indicates whether this is a child record.,,https://gin.btaa.org/metadata/b1g-custom-elements/#child-record,,
Mediator,56,string,b1g_dct_mediator_sm,Intermediary organization or service.,,https://gin.btaa.org/metadata/b1g-custom-elements/#mediator,,
Access,57,string,b1g_access_s,Access method or protocol for the resource.,,https://gin.btaa.org/metadata/b1g-custom-elements/#access,,
File Size,58,string,gbl_fileSize_s,Size of the resource file(s).,,https://opengeometadata.org/ogm-aardvark/#file-size,,
B1G Image,59,string,b1g_image_ss,Big Ten Academic Alliance specific image field.,,https://gin.btaa.org/metadata/b1g-custom-elements/#image,,
Format,60,string,dct_format_s,"File format or medium of the resource. Can include values like 'Shapefile', 'GeoJSON', 'Geodatabase', 'PDF', 'TIFF', 'GeoPackage', etc.",,https://opengeometadata.org/ogm-aardvark/#format,,"{'enum': ['ArcGRID', 'CD-ROM', 'Datasets', 'DEM', 'DVD-ROM', 'Feature Class', 'Files', 'Geodatabase', 'GeoJPEG', 'GeoJSON', 'GeoPackage', 'GeoPDF', 'GeoTIFF', 'JPEG', 'JPEG2000', 'KML', 'KMZ', 'LAS', 'LAZ', 'Mixed', 'MrSID', 'Multiple Formats', 'PDF', 'PNG', 'Pulsewaves', 'Raster Dataset', 'Shapefile', 'SQLite Database', 'Tabular Data', 'TIFF']}"
Member Of,61,string,pcdm_memberOf_sm,Collections or groups that this resource belongs to.,,https://opengeometadata.org/ogm-aardvark/#member-of,|,
Is Part Of,62,string,dct_isPartOf_sm,Larger resource or collection that this resource is part of.,,https://opengeometadata.org/ogm-aardvark/#is-part-of,|,
Source,63,string,dct_source_sm,Original source of the resource data.,,https://opengeometadata.org/ogm-aardvark/#source,|,
Is Version Of,64,string,dct_isVersionOf_sm,Original resource that this is a version of.,,https://opengeometadata.org/ogm-aardvark/#is-version-of,|,
Replaces,65,string,dct_replaces_sm,Resources that this resource replaces.,,https://opengeometadata.org/ogm-aardvark/#replaces,|,
Is Replaced By,66,string,dct_isReplacedBy_sm,Resources that replace this resource.,,https://opengeometadata.org/ogm-aardvark/#is-replaced-by,|,
Relation,67,string,dct_relation_sm,Related resources or references.,,https://opengeometadata.org/ogm-aardvark/#relation,|,
In Series,68,string,b1g_dcat_inSeries_sm,Series that this resource belongs to.,,https://opengeometadata.org/ogm-aardvark/#in-series,,
