Label,GeoNames ID,Bounding Box,Geometry,GEOID,STUSPS
Pennsylvania,http://sws.geonames.org/6254927,"-80.52,39.72,-74.69,42.27","MultiPolygon(((-75.6 39.8, -75.8 39.7, -80.5 39.7, -80.5 42.3, -79.8 42.5, -79.8 42, -75.3 42, -75.1 41.8, -75 41.5, -74.7 41.4, -75.1 41, -75.1 40.9, -75.2 40.7, -74.7 40.2, -75.1 39.9, -75.6 39.8)))",42,PA
Rhode Island,http://sws.geonames.org/5224323,"-71.86,41.15,-71.12,42.02","MultiPolygon(((-71.7 41.2, -71.6 41.3, -71.5 41.2, -71.5 41.1, -71.7 41.2)),((-71.2 41.7, -71.1 41.4, -71.8 41.3, -71.8 41.2, -71.9 41.3, -71.8 42, -71.4 42, -71.2 41.7)))",44,RI
South Carolina,http://sws.geonames.org/4597040,"-83.35,32.03,-78.54,35.22","MultiPolygon(((-81.4 35.2, -80.9 35.1, -80.8 34.8, -79.7 34.8, -78.5 33.8, -78.9 33.6, -79.3 33, -80.2 32.5, -80.8 32, -81.1 32.1, -81.5 33, -82.6 33.9, -82.9 34.5, -83.4 34.7, -83.1 35, -82.4 35.2, -81.4 35.2)))",45,SC
South Dakota,http://sws.geonames.org/5769223,"-104.06,42.48,-96.44,45.95","MultiPolygon(((-98.7 45.9, -96.6 45.9, -96.9 45.6, -96.5 45.3, -96.5 43.5, -96.6 43.5, -96.4 43.1, -96.6 42.7, -96.4 42.5, -97.2 42.9, -98 42.8, -98.5 43, -104.1 43, -104 45.9, -98.7 45.9)))",46,SD
Tennessee,http://sws.geonames.org/4662168,"-90.31,34.98,-81.65,36.68","MultiPolygon(((-84 36.6, -81.6 36.6, -81.7 36.3, -82 36.1, -82.6 36, -82.6 36.1, -83 35.8, -83.9 35.5, -84.1 35.3, -84.3 35.2, -84.3 35, -90.3 35, -90.1 35.1, -90.2 35.4, -89.9 35.5, -90 35.7, -89.6 35.9, -89.7 36.2, -89.5 36.3, -89.5 36.5, -88.1 36.5, -88.1 36.7, -84 36.6)))",47,TN
Texas,http://sws.geonames.org/4736286,"-106.65,25.84,-93.51,36.50","MultiPolygon(((-98.4 34.1, -98.1 34.2, -97.9 33.8, -97.7 34, -97.4 33.8, -97.2 33.9, -97.1 33.7, -97 34, -96.8 33.8, -96.7 33.9, -96.3 33.7, -96 33.9, -95.2 34, -94.4 33.5, -94.1 33.6, -94 32, -93.5 31, -93.7 30.5, -93.7 30.1, -93.9 29.8, -93.8 29.6, -94.6 29.4, -97 27.9, -97.3 27.1, -97.1 26, -97.4 25.8, -99.1 26.4, -99.4 27, -99.5 27.6, -100.3 28.3, -100.7 29.1, -101.4 29.8, -102.3 29.9, -102.7 29.7, -102.9 29.2, -103.3 29, -104.5 29.6, -104.9 30.6, -106.6 31.9, -106.6 32, -103.1 32, -103 36.5, -100 36.5, -100 34.6, -98.4 34.1)))",48,TX
Utah,http://sws.geonames.org/5549030,"-114.05,37.00,-109.04,42.00","MultiPolygon(((-111.5 42, -111 42, -111 41, -109.1 41, -109 37, -114.1 37, -114 42, -111.5 42)))",49,UT
Vermont,http://sws.geonames.org/5242283,"-73.44,42.73,-71.46,45.02","MultiPolygon(((-72 44.2, -72.4 43.5, -72.6 42.9, -72.5 42.7, -73.3 42.7, -73.2 43.5, -73.4 43.6, -73.3 45, -71.5 45, -71.6 44.8, -71.6 44.5, -72 44.3, -72 44.2)))",50,VT
Virginia,http://sws.geonames.org/6254928,"-83.68,36.54,-75.24,39.47","MultiPolygon(((-76.5 36.6, -80.1 36.5, -83.7 36.6, -83.1 36.7, -82 37.5, -81.7 37.2, -80.3 37.5, -79.6 38.6, -79.3 38.4, -79 38.8, -78.9 38.8, -78.4 39.2, -78.3 39.5, -77.8 39.1, -77.6 39.3, -77.5 39.1, -77 38.9, -77.3 38.3, -77 38.4, -76.9 38.2, -76.2 37.9, -75.2 38, -75.9 37.1, -75.8 36.6, -76.5 36.6)))",51,VA
Washington,http://sws.geonames.org/5815135,"-124.76,45.54,-116.92,49.00","MultiPolygon(((-118.4 46, -121.1 45.6, -121.5 45.7, -122.3 45.5, -122.7 45.6, -122.9 46.1, -123.1 46.2, -124.2 46.3, -124.3 47.1, -124.5 47.6, -124.8 48, -124.8 48.4, -123.2 48.3, -123.1 48.4, -123.3 48.7, -123 48.8, -123.3 49, -117 49, -117.1 46.4, -116.9 46, -118.4 46)))",53,WA
West Virginia,http://sws.geonames.org/4826850,"-82.64,37.20,-77.72,40.64","MultiPolygon(((-77.8 39.3, -77.8 39.1, -78.3 39.5, -78.4 39.2, -78.9 38.8, -79 38.8, -79.3 38.4, -79.6 38.6, -80.3 37.5, -80.9 37.3, -81.8 37.3, -82.6 38.2, -82.6 38.4, -82.2 38.6, -82 39, -81.8 38.9, -81.7 39.3, -80.9 39.6, -80.6 40.3, -80.6 40.6, -80.5 40.6, -80.5 39.7, -79.5 39.7, -79.5 39.2, -78.8 39.6, -78.5 39.5, -78.2 39.7, -77.8 39.6, -77.8 39.3)))",54,WV
Wisconsin,http://sws.geonames.org/5279468,"-92.89,42.49,-86.81,47.08","MultiPolygon(((-89.6 46.2, -88.1 45.9, -88.1 45.8, -87.8 45.7, -87.9 45.4, -87.7 45.4, -87.7 45.1, -87.4 45.1, -87.1 45.4, -86.2 45.2, -86.7 44.9, -87 44.1, -87.1 43.4, -87 42.5, -90.6 42.5, -91.1 42.9, -91.1 43.3, -91.4 43.9, -92.8 44.8, -92.6 45.4, -92.9 45.6, -92.9 45.7, -92.3 46.1, -92.2 46.7, -90.7 47.3, -90 47.3, -90.4 46.6, -90.1 46.3, -89.6 46.2)))",55,WI
Wyoming,http://sws.geonames.org/5843591,"-111.06,40.99,-104.05,45.01","MultiPolygon(((-106.3 41, -111 41, -111.1 45, -104.1 45, -104.1 41, -106.3 41)))",56,WY
Guam,http://sws.geonames.org/4043988,"144.62,13.23,144.96,13.65","MultiPolygon(((144.6 13.4, 144.8 13.7, 145 13.6, 144.7 13.2, 144.6 13.2, 144.6 13.4)))",66,GU
Puerto Rico,http://sws.geonames.org/4566966,"-67.95,17.88,-65.22,18.52","MultiPolygon(((-66.3 17.9, -67.2 17.9, -67.3 18.4, -67.1 18.6, -65.2 18.3, -65.2 18.2, -65.5 18.3, -65.6 18.2, -65.2 18.1, -65.5 18, -65.6 18.2, -65.9 17.9, -66.3 17.9)),((-68 18.2, -67.8 18.2, -67.8 18.1, -67.9 18, -68 18.2)),((-67.5 18.4, -67.5 18.4, -67.4 18.4, -67.5 18.3, -67.5 18.4)))",72,PR
