Title,Alternative Title,Description,Language,Display Note,B1G Language,Creator,Creator ID,Publisher,Provider,Resource Class,Resource Type,Subject,Theme,Keyword,Temporal Coverage,Date Issued,Index Year,Date Range,Spatial Coverage,Geometry,Bounding Box,Centroid,Georeferenced,GeoNames,Relation,Member Of,Is Part Of,Source,Is Version Of,Replaces,Is Replaced By,Rights,Rights Holder,License,Access Rights,Format,File Size,WxS Identifier,B1G Image,ID,Identifier,Code,Accrual Method,Accrual Periodicity,Date Accessioned,Date Retired,Status,Publication State,Suppressed Record,Child Record,Mediator,Access,Created At,Updated At,Tags,In Series,Conforms to,Provenance Statement,Spatial Resolution in Meters,Spatial Resolution as Text,Local Collection
Clark County Open Data,,"Website for finding and accessing open data provided by Clark County, Washington",eng,,,,,Washington (State)--Clark County,,Websites,,County government records,,,Continually updated resource,,,,Washington (State)--Clark County|Washington (State),"POLYGON((-122.25 45.82, -122.25 45.55, -122.29 45.54, -122.38 45.58, -122.44 45.56, -122.64 45.61, -122.76 45.66, -122.77 45.68, -122.76 45.76, -122.8 45.83, -122.77 45.86, -122.72 45.87, -122.73 45.9, -122.75 45.9, -122.72 45.93, -122.61 45.94, -122.5 45.99, -122.34 45.96, -122.31 45.99, -122.33 46.01, -122.27 46.06, -122.25 46.05, -122.25 45.82))","-122.80,45.54,-122.24,46.06","45.8,-122.52",,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,Public,ArcGIS Hub,,,,16b-53011,https://hub-clarkcountywa.opendata.arcgis.com/api/feed/dcat-us/1.1.json,16b-53011,DCAT US 1.1,Weekly,2025-05-31,,Indexed,published,,,,,2025-05-31 15:34:25 -0500,2025-05-31 15:35:49 -0500,,,,,,,
Clay County Open Data,,"Website for finding and accessing open data provided by Clay County, Minnesota",eng,,,,,Minnesota--Clay County,,Websites,,County government records,,,Continually updated resource,,,,Minnesota--Clay County|Minnesota,"POLYGON((-96.840 47.151, -96.172 47.151, -96.172 46.629, -96.840 46.629, -96.840 47.151))","-96.840,46.629,-96.172,47.151","46.89,-96.506",,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,Public,ArcGIS Hub,,,,05b-27027,https://data-claycountymn.opendata.arcgis.com/api/feed/dcat-us/1.1.json,05b-27027,DCAT US 1.1,Weekly,2022-09-26,,Indexed,published,,,,,2021-04-26 12:02:51 -0500,2025-06-18 18:30:56 -0500,,,,,,,
Eau Claire County Geospatial Hub,,"Website for finding and accessing open data provided by Eau Claire County, Wisconsin",eng,,,,,Wisconsin--Eau Claire County,,Websites,,County government records,,,Continually updated resource,,,,Wisconsin--Eau Claire County|Wisconsin,"POLYGON((-91.595 44.879, -91.368 44.879, -91.368 44.756, -91.595 44.756, -91.595 44.879))","-91.595,44.756,-91.368,44.879","44.817499999999995,-91.4815",,,,ba5cc745-21c5-4ae9-954b-72dd8db6815a,,,,,,,,,Public,ArcGIS Hub,,,https://www.arcgis.com/sharing/rest/content/items/815dd2d8a4434dc3b455ba4dcc7639ed/resources/eauclairecountywi-logo.png?v=1611986122727,10b-55035-01,https://hub-eccounty.hub.arcgis.com/api/feed/dcat-us/1.1.json,10b-55035,DCAT US 1.1,Weekly,2022-10-27,,Indexed,published,,,,,2021-04-26 11:51:14 -0500,2025-06-18 18:37:27 -0500,,,,,,,
