ID,old_url
ui_api_127,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_127
ui_api_1270,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1270
ui_api_1275,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1275
ui_api_128,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_128
ui_api_1280,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1280
ui_api_1283,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1283
ui_api_1287,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1287
ui_api_129,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_129
ui_api_1291,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1291
ui_api_1296,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1296
ui_api_130,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_130
ui_api_1301,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1301
ui_api_1306,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1306
ui_api_131,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_131
ui_api_1317,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1317
ui_api_132,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_132
ui_api_1322,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1322
ui_api_1327,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1327
ui_api_133,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_133
ui_api_1332,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1332
ui_api_1337,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1337
ui_api_134,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_134
ui_api_1342,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1342
ui_api_1345,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1345
ui_api_1348,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1348
ui_api_135,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_135
ui_api_1358,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1358
ui_api_136,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_136
ui_api_1361,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1361
ui_api_137,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_137
ui_api_1371,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1371
ui_api_1376,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1376
ui_api_138,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_138
ui_api_1381,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1381
ui_api_139,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_139
ui_api_140,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_140
ui_api_141,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_141
ui_api_1412,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1412
ui_api_1413,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1413
ui_api_1414,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1414
ui_api_1415,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1415
ui_api_1416,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1416
ui_api_1417,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1417
ui_api_1418,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1418
ui_api_1419,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1419
ui_api_142,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_142
ui_api_1420,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1420
ui_api_1421,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1421
ui_api_1422,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1422
ui_api_1423,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1423
ui_api_1424,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1424
ui_api_1425,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1425
