ID,old_url,new_landing_page_url,new_iiif_manifest_url
ui_api_1116,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1116,https://digital.lib.uiowa.edu/node/108626,https://digital.lib.uiowa.edu/node/108626/iiif-p/manifest
ui_api_112,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_112,https://digital.lib.uiowa.edu/node/830277,https://digital.lib.uiowa.edu/node/830277/iiif-p/manifest
ui_api_1126,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1126,https://digital.lib.uiowa.edu/node/47191,https://digital.lib.uiowa.edu/node/47191/iiif-p/manifest
ui_api_1129,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1129,https://digital.lib.uiowa.edu/node/271657,https://digital.lib.uiowa.edu/node/271657/iiif-p/manifest
ui_api_113,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_113,https://digital.lib.uiowa.edu/node/568581,https://digital.lib.uiowa.edu/node/568581/iiif-p/manifest
ui_api_1134,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1134,https://digital.lib.uiowa.edu/node/101676,https://digital.lib.uiowa.edu/node/101676/iiif-p/manifest
ui_api_1137,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1137,https://digital.lib.uiowa.edu/node/578163,https://digital.lib.uiowa.edu/node/578163/iiif-p/manifest
ui_api_114,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_114,https://digital.lib.uiowa.edu/node/569396,https://digital.lib.uiowa.edu/node/569396/iiif-p/manifest
ui_api_1142,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1142,https://digital.lib.uiowa.edu/node/69534,https://digital.lib.uiowa.edu/node/69534/iiif-p/manifest
ui_api_1147,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1147,https://digital.lib.uiowa.edu/node/188462,https://digital.lib.uiowa.edu/node/188462/iiif-p/manifest
ui_api_115,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_115,https://digital.lib.uiowa.edu/node/266600,https://digital.lib.uiowa.edu/node/266600/iiif-p/manifest
ui_api_1152,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1152,https://digital.lib.uiowa.edu/node/152172,https://digital.lib.uiowa.edu/node/152172/iiif-p/manifest
ui_api_1157,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1157,https://digital.lib.uiowa.edu/node/179744,https://digital.lib.uiowa.edu/node/179744/iiif-p/manifest
ui_api_116,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_116,https://digital.lib.uiowa.edu/node/932898,https://digital.lib.uiowa.edu/node/932898/iiif-p/manifest
ui_api_1162,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1162,https://digital.lib.uiowa.edu/node/29497,https://digital.lib.uiowa.edu/node/29497/iiif-p/manifest
ui_api_1167,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1167,https://digital.lib.uiowa.edu/node/18996,https://digital.lib.uiowa.edu/node/18996/iiif-p/manifest
ui_api_117,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_117,https://digital.lib.uiowa.edu/node/681680,https://digital.lib.uiowa.edu/node/681680/iiif-p/manifest
ui_api_1172,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1172,https://digital.lib.uiowa.edu/node/324701,https://digital.lib.uiowa.edu/node/324701/iiif-p/manifest
ui_api_1177,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1177,https://digital.lib.uiowa.edu/node/196201,https://digital.lib.uiowa.edu/node/196201/iiif-p/manifest
ui_api_118,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_118,https://digital.lib.uiowa.edu/node/572866,https://digital.lib.uiowa.edu/node/572866/iiif-p/manifest
ui_api_1182,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1182,https://digital.lib.uiowa.edu/node/381953,https://digital.lib.uiowa.edu/node/381953/iiif-p/manifest
ui_api_119,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_119,Error: No redirect or process failed (TimeoutException),
ui_api_1192,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1192,https://digital.lib.uiowa.edu/node/48604,https://digital.lib.uiowa.edu/node/48604/iiif-p/manifest
ui_api_1197,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1197,https://digital.lib.uiowa.edu/node/335419,https://digital.lib.uiowa.edu/node/335419/iiif-p/manifest
ui_api_120,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_120,https://digital.lib.uiowa.edu/node/690355,https://digital.lib.uiowa.edu/node/690355/iiif-p/manifest
ui_api_1200,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1200,https://digital.lib.uiowa.edu/node/23954,https://digital.lib.uiowa.edu/node/23954/iiif-p/manifest
ui_api_1207,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1207,https://digital.lib.uiowa.edu/node/144604,https://digital.lib.uiowa.edu/node/144604/iiif-p/manifest
ui_api_121,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_121,https://digital.lib.uiowa.edu/node/692348,https://digital.lib.uiowa.edu/node/692348/iiif-p/manifest
ui_api_1210,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1210,https://digital.lib.uiowa.edu/node/333930,https://digital.lib.uiowa.edu/node/333930/iiif-p/manifest
ui_api_1215,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1215,https://digital.lib.uiowa.edu/node/201361,https://digital.lib.uiowa.edu/node/201361/iiif-p/manifest
ui_api_122,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_122,https://digital.lib.uiowa.edu/node/790775,https://digital.lib.uiowa.edu/node/790775/iiif-p/manifest
ui_api_1220,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1220,https://digital.lib.uiowa.edu/node/112489,https://digital.lib.uiowa.edu/node/112489/iiif-p/manifest
ui_api_1225,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_1225,https://digital.lib.uiowa.edu/node/51282,https://digital.lib.uiowa.edu/node/51282/iiif-p/manifest
ui_api_123,https://digital.lib.uiowa.edu/islandora/object/ui%3Aapi_123,https://digital.lib.uiowa.edu/node/78832,https://digital.lib.uiowa.edu/node/78832/iiif-p/manifest
